koi_disposition,koi_score,koi_period,koi_duration,koi_depth,koi_model_snr,koi_prad,koi_teq,koi_fpflag_nt,koi_fpflag_ss
FALSE POSITIVE,0.0,4.859386384,2.2757,6044.3,269.7,38.33,1114.0,0,1
CONFIRMED,0.999,10.526294577,2.5211,9768.0,482.3,8.24,713.0,0,0
CONFIRMED,1.0,4.583520948,2.7055,3812.1,99.5,5.39,1038.0,0,0
CONFIRMED,0.876,3.76181843,3.5176,510.6,35.9,2.66,1121.0,0,0
CONFIRMED,1.0,8.20396958,2.9667,1024.4,54.4,3.01,742.0,0,0
CONFIRMED,1.0,14.49645186,4.016,647.5,25.7,3.01,613.0,0,0
CONFIRMED,1.0,6.54626149,2.75,655.9,24.8,2.19,810.0,0,0
CONFIRMED,1.0,12.71809866,3.0957,1149.4,52.7,2.31,562.0,0,0
CONFIRMED,0.999,36.06588163,4.3246,1563.8,51.7,2.64,397.0,0,0
CONFIRMED,1.0,4.190425659,2.8589,2877.4,240.6,6.21,1234.0,0,0
CONFIRMED,1.0,3.709870784,3.0694,2020.3,116.1,4.35,1151.0,0,0
CONFIRMED,1.0,16.3297527,6.271,1187.5,74.6,3.75,727.0,0,0
CONFIRMED,0.985,27.807566216,4.21587,25391.0,748.1,13.84,554.0,0,0
CONFIRMED,0.942,80.8723469,11.195,3604.6,160.9,7.59,452.0,0,0
FALSE POSITIVE,0.0,3.166465862,2.9381,4357.2,122.1,26.82,954.0,0,1
CONFIRMED,0.912,24.99324319,5.9409,269.6,62.0,2.29,712.0,0,0
CONFIRMED,1.0,10.35533116,3.1775,750.6,49.2,2.47,777.0,0,0
CONFIRMED,1.0,16.08518937,3.984,1442.4,62.6,3.68,613.0,0,0
CANDIDATE,0.998,235.9986399,8.2284,20715.0,271.8,10.59,188.0,0,0
CONFIRMED,1.0,7.49018305,2.7297,1123.6,53.0,2.56,753.0,0,0
CONFIRMED,1.0,36.2761238,4.7865,1572.6,45.5,3.03,445.0,0,0
CONFIRMED,1.0,17.46087931,2.2641,812.4,22.6,2.32,568.0,0,0
CONFIRMED,0.996,56.0560754,4.685,1626.0,27.4,1.94,233.0,0,0
CONFIRMED,0.974,41.408316686,5.0264,22839.0,907.8,11.38,453.0,0,0
CANDIDATE,0.994,39.74893077,7.3051,15179.0,561.1,14.21,552.0,0,0
CONFIRMED,1.0,5.715425977,2.5242,908.1,59.4,2.47,850.0,0,0
CONFIRMED,0.959,49.18394185,11.3364,1646.2,355.7,8.2,669.0,0,0
CONFIRMED,0.994,20.0261412,1.611,421.2,10.7,2.28,559.0,0,0
CANDIDATE,0.0,13.61014819,2.594,5732.9,184.1,19.02,733.0,0,0
FALSE POSITIVE,0.0,10.44331991,2.743,1159.8,51.7,2.66,667.0,0,1
CONFIRMED,1.0,2.237489571,1.8119,315.8,30.7,1.41,1160.0,0,0
FALSE POSITIVE,0.0,5.851520671,3.11058,33004.0,1630.4,14.62,901.0,0,1
CONFIRMED,1.0,3.167893418,2.1814,781.2,64.8,2.62,1221.0,0,0
CONFIRMED,1.0,4.311780262,2.7251,1154.0,86.1,3.11,1038.0,0,0
CONFIRMED,1.0,20.0504494,4.556,840.9,37.8,2.69,622.0,0,0
CONFIRMED,1.0,9.76734503,1.6585,569.1,21.1,2.67,791.0,0,0
CANDIDATE,1.0,119.0207044,8.1405,7430.5,223.5,8.98,366.0,0,0
CONFIRMED,0.987,190.3200468,15.284,1141.7,139.3,7.78,426.0,0,0
FALSE POSITIVE,0.0,2.861159894,1.8832,1014.3,58.3,4.37,1355.0,0,1
CONFIRMED,1.0,26.44439337,3.9783,1843.5,88.0,3.91,562.0,0,0
CONFIRMED,0.983,51.53997972,6.3994,3644.3,155.5,5.51,450.0,0,0
CONFIRMED,1.0,5.902245782,2.9003,702.3,59.3,2.43,926.0,0,0
CONFIRMED,1.0,2.382951591,1.8876,391.6,41.4,1.86,1253.0,0,0
CONFIRMED,1.0,21.02250608,4.1072,1772.5,62.4,3.07,521.0,0,0
